vnum,vname,vdesc,category
1026,schcf,Schedule C or F Indicator,manual
1027,sche,Schedule E Indicator,manual
1028,tform,Form of Return,manual
1029,txst,Tax Status,manual
1030,xfpt,Primary Taxpayer Exemption,manual
1031,xfst,Secondary Taxpayer Exemption,manual
1032,xocah,Exemptions for Children Living at Home,manual
1033,xocawh,Exemptions for Children Living Away from Home,manual
1034,xoodep,Exemptions for Other Dependents,manual
1035,xopar,Exemptions for Parents Living at Home or Away from Home,manual
1036,xtot,Total Exemptions,manual
